**********************************************
* Logging started at Thu Feb 27 22:56:30 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>log-file 'init_state.txt'
**********************************************
* Logging ended at Thu Feb 27 22:56:30 2025
**********************************************
**********************************************
* Logging started at Thu Feb 27 22:56:37 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>@contacts_output
contact = 1 1 1 0 (0.362109,-0.687714,0.997993) (0,0,-1)
subcontact = (0.562016,-0.768981,1.74099) 5091.38 (630.787,1451.86,-186.02) 97 -4.62531e-06 (-1.3753e-06,-3.1655e-06,4.05578e-07) 277518 86877.6 0.0183461
subcontact = (0.879017,-0.654982,1.74399) 7400.47 (683.077,1164.74,-137.585) 96 -7.03158e-06 (-1.55767e-06,-2.65603e-06,3.13744e-07) 421895 77375.9 0.017541
contact = 3 1 3 2 (0.922033,-0.628969,2.48718) (0.23479,-0.324217,-0.916382)
subcontact = (1.29603,-0.654951,2.59198) 0 (0,0,0) 121 0 (0,0,0) 0 0 0.0141058
subcontact = (1.29578,-0.654899,2.59207) 0 (0,0,0) 120 0 (0,0,0) 0 0 0.00761173
subcontact = (0.879029,-0.654952,2.48499) 0 (0,0,0) 119 0 (0,0,0) 0 0 0.0204544
subcontact = (1.20303,-0.884948,2.64999) 3174.91 (-331.818,112.666,-124.905) 95 -9.2333e-05 (-2.07791e-06,-3.58621e-05,1.21531e-05) 416983 48859.8 0.007614
subcontact = (0.647028,-0.385957,2.33098) 16247 (-1473.94,5263.63,-2239.4) 94 -3.35443e-05 (7.30334e-06,-2.60817e-05,1.10976e-05) 2.01266e+06 731758 0.00807241
subcontact = (0.879029,-0.385956,2.38997) 0 (0,0,0) 93 0 (0,0,0) 0 0 0.0167049
subcontact = (0.526027,-0.768952,2.435) 0 (0,0,0) 92 1.61909e-06 (9.21053e-07,-2.4614e-05,8.94283e-06) 0 0 0.0220349
subcontact = (0.863028,-0.82595,2.54199) 6613.93 (-238.385,3891.63,-1437.44) 91 -4.51869e-05 (-5.91369e-07,-3.02244e-05,1.05398e-05) 340295 213804 0.0194358
